state,state_encoding,if opcode,cz,if carry flag,if zero flag,if check flag,if counter flag,next state,pw,mw,mr,mem_a0,IR_w,rw,rf_a1_0,rf_a2_1,rf_a2_0,rf_a3_1,rf_a3_0,rf_d3_1,rf_d3_0,t1_0,t3_0,aluA2,aluA1,aluA0,aluB1,aluB0,alu_op1,alu_op0
s0,"""00000""",,,,,,,s1,1,0,1,0,1,0,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,1
s1,"""00001""","""0001""",'00'',,,,,s2,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,,'01'',,"0,1",,,"s4,s2",0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,,'10',"0,1",,,,"s4,s2",0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,,'11'',,,,,s5,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,'''0000'',,,,,,s7,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,'''0010'','00'',,,,,s2,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,,01',,"0,1",,,"s4,s2",0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,,10',"0,1",,,,"s4,s2",0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,'0011'',,,,,,s10,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,"""0111""",,,,,,s7,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,"""0101""",,,,,,s7,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,"""1100""",,,,,,s14,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,"""1101""",,,,,,s14,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,"""1000""",,,,,,s2,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,"""1001""",,,,,,s3,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,"""1010""",,,,,,s3,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
,,"""1011""",,,,,,s22,0,0,0,x,0,0,1,0,1,x,x,x,x,0,x,x,x,x,x,x,0,0
s2,"""00010""","""1000""",,,"0,1",,,"s4,s18",0,0,0,x,0,0,x,x,x,x,x,x,x,x,x,0,1,1,0,1,1,1
,,"""1011""",,,,,,s4,0,0,0,x,0,0,x,x,x,x,x,x,x,x,x,0,1,1,0,1,1,1
,,"""0001""",,,,,,s3,0,0,0,x,0,0,x,x,x,x,x,x,x,x,x,0,1,1,0,1,1,1
,,"""0000""",,,,,,s7,0,0,0,x,0,0,x,x,x,x,x,x,x,x,x,0,1,1,0,1,1,1
,,"""0010""",,,,,,s3,0,0,0,x,0,0,x,x,x,x,x,x,x,x,x,0,1,1,0,1,1,1
s3,"""00011""","""1010""",,,,,,s1,0,0,0,x,0,1,x,x,x,0,0,0,0,x,x,x,x,x,x,x,0,0
,,"""1001""",,,,,,s20,0,0,0,x,0,1,x,x,x,0,0,0,0,x,x,x,x,x,x,x,0,0
,,else ,,,,,,s4,0,0,0,x,0,1,x,x,x,0,0,0,0,x,x,x,x,x,x,x,0,0
s4,"""00100""",,,,,,,s0,0,0,0,x,0,1,x,x,x,0,1,1,1,x,x,x,x,x,x,x,0,0
s5,"""00101""",,,,,,,s3,0,0,0,x,0,0,x,x,x,x,x,x,x,x,0,0,1,0,0,1,0,0
s7,"""00110""","""0000""",,,,,,s3,0,0,0,x,0,0,x,x,x,x,x,x,x,x,0,1,0,0,0,1,0,0
,,"""0111""",,,,,,s12,0,0,0,x,0,0,x,x,x,x,x,x,x,x,0,1,0,0,0,1,0,0
,,"""0101""",,,,,,s13,0,0,0,x,0,0,x,x,x,x,x,x,x,x,0,1,0,0,0,1,0,0
s10,"""00111""",,,,,,,s4,0,0,0,x,0,1,x,x,x,0,0,1,0,x,x,x,x,x,x,x,0,0
s12,"""01001""",,,,,,,s4,0,0,1,1,0,1,x,x,x,1,0,0,1,x,x,x,x,x,x,x,0,0
s13,"""01010""",,,,,,,s4,0,1,0,1,0,0,x,1,0,x,x,x,x,x,x,x,x,x,x,x,0,0
s14,"""01011""",,,,,"0,1",,"s17,s15",0,0,0,x,0,0,x,1,0,x,x,x,x,x,1,x,x,x,x,x,0,0
s15,"""01100""",,,,,,,s16,0,0,1,1,0,1,x,x,x,1,0,0,1,x,x,x,x,x,x,x,0,0
s16,"""01101""",,,,,1,"0,1","s15,s4",0,0,0,x,0,0,x,x,x,x,x,x,x,x,0,0,0,1,0,0,0,1
,,,,,,0,"0,1","s16,s4",0,0,0,x,0,0,x,x,x,x,x,x,x,x,0,0,0,1,0,0,0,1
s17,"""01110""",,,,,,,s16,0,1,0,x,0,0,x,1,1,x,x,x,x,x,x,x,x,x,x,x,0,0
s18,"""01111""",,,,,,,s4,1,0,0,x,0,0,x,x,x,x,x,x,x,x,x,0,0,0,1,1,0,1
s20,"""10000""",,,,,,,s4,1,0,0,x,0,0,x,x,x,x,x,x,x,x,x,0,0,0,1,0,0,1
s22,"""10001""",,,,,,,s2,0,0,0,x,0,0,x,1,0,x,x,x,x,1,x,x,x,x,x,x,0,0
